company_name,industry,contact_person,phone,email,area,lead_type,lead_source,website,facebook,instagram,notes
Wepod Sdn Bhd,Corporate Gift Company,,+603 6276 9998,premium@wepodgroup.com,Kepong,Gift Company,Website,https://www.wepodgroup.com/,,,Public phone and email from official website contact section.
Green Forest Marketing,Corporate Gift Company,,+603 9054 9096,sales@greenforestgifts.com.my,Kuala Lumpur,Gift Company,Website,https://greenforestgifts.com.my/,,,Public phone and email from official website contact section.
Champly (M) Sdn. Bhd.,Corporate Gift Company,,+603 6277 8819,enquiry@champly.com,Damansara,Gift Company,Website,https://champly.com/contact-us,,,Public phone and email from official website contact page.
Carigift Souvenir,Corporate Gift Company,,+60122521023,carigifts@yahoo.com,Kuala Lumpur,Gift Company,Website,https://cari-gift.com/,,,Public phone and email from official website homepage.
Flying Zebra Sdn. Bhd.,Corporate Gift Company,,+6012 978 6913,belvi@flyingzebra.com.my,Kuala Lumpur,Gift Company,Website,https://flyingzebra.com.my/,,,Public phone and email from official website contact section.
Joshijosh Enterprise,Catering Company,,+6018 352 9877,sales@joshijosh.com,Damansara,Catering,Website,https://www.joshijosh.com/,,,Public phone and email from official website contact details.
HH Catering Services Sdn Bhd,Catering Company,,+603 7804 1740,order@hhcatering.com.my,Petaling Jaya,Catering,Website,https://www.hhcateringservices.com/,,,Public office line and email from official website contact section.
Orange Catering,Catering Company,,+603 5166 7013,support@orangecatering.my,Klang,Catering,Website,https://www.orangecatering.my/contact,,,Public office line and email from official website contact page.
LE.Oriental Catering Sdn. Bhd.,Catering Company,,+603 7982 7749,admin@leoriental.com.my,Kuala Lumpur,Catering,Website,https://leoriental.com.my/,,,Public phone and email from official website homepage.
Secret Garden Catering & Events PLT,Catering Company,,+603 7971 5526,enquiry@secretgarden.com.my,Kuala Lumpur,Catering,Website,https://secretgarden-catering.com/contact/,,,Public office line and email from official website contact page.
JUMBO Restaurant & Catering Sdn. Bhd.,Catering Company,,+603 8070 1963,enquiry@jumbo.com.my,Puchong,Catering,Website,https://jumbo.com.my/,,,Public phone and email from official website homepage.
Prestigioo,Event Planner,,+6019 2880 199,hello@prestigioo.com.my,Bangsar,Event Planner,Website,https://prestigioo.com.my/contact-us/,,,Public phone and email from official website contact page.
Up & Down Event,Event Planner,,+6016 327 7307,upndown.inquiry@gmail.com,Petaling Jaya,Event Planner,Website,https://www.upndownevent.com/contact,,,Public phone and email from official website contact page.
Eventurers Concepts Sdn Bhd,Event Planner,,+6017 311 2273,hello@eventurers.com.my,Petaling Jaya,Event Planner,Website,https://www.eventurers.com.my/,,,Public phone and email from official website homepage.
Majesty,Event Planner,,+6016 340 3161,kevinkhoo@majestyevent.com,Damansara,Event Planner,Website,https://www.majestyevent.com/contact,,,Public phone and email from official website contact page.
FGNC Event Management (M) Sdn Bhd,Event Planner,,+603 6277 2441,enquiry@fgnc.com.my,Kepong,Event Planner,Website,https://www.fgnc.com.my/contact/,,,Public office line and email from official website contact page.
